S_75_5	S_115_5	S_10_5	S_79_6	S_206_6	S_257_6
cg07881041	0.926274912731551	0.938421687456038	0.931047323992035	0.793470793821427	0.918165554778309	0.92066930688124
cg03513874	0.659468679375111	0.886008292615693	0.911496146651459	0.836709087580466	0.913457078449935	0.710584632334143
cg05451842	0.0715113125873148	0.0687445290530963	0.0579444465363787	0.0476207507350395	0.102947386389419	0.0824385908572732
cg14797042	0.852699002546289	0.911368890029516	0.919223083386612	0.907135569762227	0.857735461381444	0.694491214446064
cg09838562	0.0666778270761809	0.076637750387577	0.0369852155502036	0.0421723658203212	0.0679230848099401	0.136837602716661
cg25458538	0.931050182614956	0.902152042318424	0.941322318702923	0.854478734138376	0.926429897124506	0.891546721376611
cg09261072	0.429511563061415	0.388472924747972	0.626910527150311	0.227746540350083	0.343907936250345	0.213388451166381
cg02404579	0.848579074565886	0.854614473514937	0.919878193179221	0.741916885357289	0.83141871789913	0.464906957697826
cg04118974	0.633963760011835	0.512971667317064	0.745371865209423	0.46442215542282	0.718578607382576	0.589960728761898
cg01236347	0.433540885597752	0.436834771960111	0.698295642284105	0.63311665787427	0.298690945205231	0.362505618417439
cg22585117	0.491054144373217	0.43636462011616	0.674976006671235	0.326857082909666	0.320624455672555	0.32814478842124
cg25552317	0.713349513205191	0.812024963133066	0.625439610633555	0.833056920611959	0.77126586466207	0.241320862919849
cg23875663	0.163833242618325	0.442933371809005	0.105050863083214	0.270216199392357	0.180632974706809	0.128694071772738
cg07659892	0.0808371811215427	0.0835040133219631	0.0411566559494099	0.0731470905047014	0.0705219266556376	0.109299654305586
cg15995909	0.901316082006437	0.909508219091913	0.92300673077141	0.909831751947899	0.913786748790421	0.7487697796223
cg23728960	0.708379617771568	0.598321696078368	0.522441762613881	0.300262652233535	0.366108109860639	0.417922132539844
cg11993619	0.567905756484909	0.709399706445242	0.783279952875518	0.583214119810329	0.750097437430655	0.600570175758089
cg03452160	0.350672558324784	0.444153386369882	0.247667027472633	0.0994460411338561	0.240945474131943	0.138838465525998
cg09430819	0.563673175407322	0.635068797197689	0.820495108932803	0.376545261582783	0.485804790337358	0.205765549679371
